state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Virginia,51127,New Kent County,10974,5641,16744,5333,0.655398949,0.336896799,0.31850215
Virginia,51131,Northampton County,3183,3603,6832,-420,0.465895785,0.527371194,-0.06147541
Virginia,51133,Northumberland County,4938,3202,8205,1736,0.601828154,0.390249848,0.211578306
Virginia,51135,Nottoway County,4168,2636,6853,1532,0.608200788,0.384649059,0.223551729
Virginia,51137,Orange County,13764,8274,22247,5490,0.61869016,0.371915314,0.246774846
Virginia,51139,Page County,10123,2976,13211,7147,0.766255393,0.225266823,0.54098857
Virginia,51141,Patrick County,7746,1886,9698,5860,0.798721386,0.194473087,0.604248299
Virginia,51143,Pittsylvania County,24310,9599,34100,14711,0.712903226,0.281495601,0.431407625
Virginia,51145,Powhatan County,14918,5734,20841,9184,0.715800585,0.275130752,0.440669834
Virginia,51147,Prince Edward County,4782,4539,9424,243,0.507427844,0.481642615,0.025785229
Virginia,51149,Prince George County,10590,6842,17596,3748,0.601841328,0.388838372,0.213002955
Virginia,51153,Prince William County,90203,131128,227591,-40925,0.396338168,0.576156351,-0.179818183
Virginia,51155,Pulaski County,12732,4830,17690,7902,0.71972866,0.273035613,0.446693047
Virginia,51157,Rappahannock County,2943,2041,5038,902,0.584160381,0.40512108,0.179039301
Virginia,51159,Richmond County,2697,1439,4161,1258,0.6481615,0.345830329,0.30233117
Virginia,51161,Roanoke County,34453,21693,56789,12760,0.606684393,0.381992992,0.224691402
Virginia,51163,Rockbridge County,8468,4160,12752,4308,0.664052698,0.326223338,0.33782936
Virginia,51165,Rockingham County,33033,15035,48581,17998,0.679957185,0.309483131,0.370474054
Virginia,51167,Russell County,11303,2172,13525,9131,0.835711645,0.160591497,0.675120148
Virginia,51169,Scott County,9392,1607,11057,7785,0.849416659,0.145337795,0.704078864
Virginia,51171,Shenandoah County,17215,6914,24380,10301,0.706111567,0.283593109,0.422518458
Virginia,51173,Smyth County,11521,2805,14420,8716,0.798959778,0.194521498,0.60443828
Virginia,51175,Southampton County,6133,3626,9831,2507,0.623842946,0.368833282,0.255009663
Virginia,51177,Spotsylvania County,42531,35747,79209,6784,0.536946559,0.451299726,0.085646833
Virginia,51179,Stafford County,40590,41252,83123,-662,0.488312501,0.496276602,-0.007964101
Virginia,51181,Surry County,2205,2176,4429,29,0.497855046,0.491307293,0.006547753
Virginia,51183,Sussex County,2322,2539,4892,-217,0.474652494,0.51901063,-0.044358136
Virginia,51185,Tazewell County,16711,3030,19858,13681,0.841524826,0.152583342,0.688941485
Virginia,51187,Warren County,15400,6910,22561,8490,0.682593857,0.30628075,0.376313107
Virginia,51191,Washington County,22455,6772,29412,15683,0.763463892,0.230246158,0.533217734
